"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"01-01-2023",104.9005556,109.7965278,91.48854167,136.2965278,145.7682986,64.22802083,130.0753472,111.793402785714
"02-01-2023",94.9034375,89.90625,76.6423913,100.8730435,109.7998864,57.20079861,107.2916667,90.94535343
"03-01-2023",137.1481597,109.9738636,92.3875,135.9572222,121.8760764,68.28680556,128.2791667,113.415542022857
"04-01-2023",102.7529167,92.25243056,75.04583333,106.6216288,98.02673611,56.91725694,102.9079861,90.6463983628571
"05-01-2023",125.0340625,108.0159722,87.40208333,124.2927083,111.4488889,74.45837302,117.4871528,106.877034435714
"06-01-2023",116.7144792,109.2131944,82.75451389,107.0534444,104.7290625,99.34309028,113.8354167,104.806171624286
"07-01-2023",146.2351042,136.3538194,104.8795139,166.6532292,130.0577778,113.2126042,138.2920139,133.6691518
"08-01-2023",150.184375,139.725,110.4118056,157.0989236,136.3412153,112.0577431,143.2822917,135.585907757143
"09-01-2023",132.5528125,119.1858696,98.91014493,142.6224242,124.8531944,110.8879514,132.9539855,123.138054647143
"10-01-2023",108.2775,104.41875,79.37916667,102.1105952,126.6195833,97.2171875,109.9583333,103.997302281429
"11-01-2023",141.4359058,129.5128472,105.2309028,145.4967361,139.2126894,108.5206944,152.7911111,131.742983828571
"12-01-2023",137.1933333,105.1694444,97.00416667,125.9925362,110.89,104.9286806,125.3430556,115.217316681429
"13-01-2023",109.3072917,104.0131944,74.56736111,79.69229167,102.2023958,93.55848485,111.2020833,96.3633004042857
"14-01-2023",72.93895833,57.425,39.93125,46.06569444,70.65666667,43.66652778,76.26458333,58.1355257928571
"15-01-2023",101.245,80.35520833,58.75486111,62.85930556,83.25989583,61.76652778,108.3329861,79.5105406728571
"16-01-2023",101.3045652,75.74618056,57.26847826,73.85458333,86.00270833,64.95902778,98.08923611,79.6035399385714
"17-01-2023",121.0494792,84.83159722,57.64270833,59.78309028,95.88977273,65.72107639,95.83506944,82.9646847985714
"18-01-2023",131.1377083,94.71006944,58.96319444,63.90275362,99.08989583,72.49454861,108.4565972,89.8221096342857
"19-01-2023",139.9158333,108.8604167,73.425,66.55295139,104.6289583,76.88340278,122.5423913,98.9727076814286
"20-01-2023",157.9976087,133.0069444,84.84375,117.0462319,125.175625,89.67013889,147.5465278,122.183832384286
"21-01-2023",195.5828125,155.00625,104.0208333,142.7173264,164.0033333,112.3929514,180.8336806,150.651026785714
"22-01-2023",164.97,140.0875,91.5125,128.1324306,146.453125,95.21670139,161.6642361,132.57664187
"23-01-2023",123.8489583,94.50381944,67.88993056,112.098125,116.6391667,76.61354167,128.2513889,102.834990081429
"24-01-2023",125.6892014,101.3618056,70.6530303,105.2106944,115.5142029,72.2553125,135.3177083,103.714565057143
"25-01-2023",124.5498188,99.36145833,68.85729167,108.4882292,133.3233929,71.63524306,133.8295139,105.720706837143
"26-01-2023",97.2959375,77,55.98645833,80.93659722,91.37635417,58.16565972,105.775,80.9337152771429
"27-01-2023",103.231875,76.69583333,58.771875,78.50177083,83.49547619,54.00545139,108.1614583,80.40910572
"28-01-2023",89.53631944,70.49583333,54.81041667,70.80065972,73.05857639,53.90559028,95.32395833,72.5616220228571
"29-01-2023",80.14263889,68.44375,46.57395833,67.57385417,65.66614583,52.47461806,89.29895833,67.1677033728571
"30-01-2023",99.8275,77.39895833,57.83576389,80.76302083,86.03065972,59.09368056,104.2177083,80.7381845185714
"31-01-2023",113.5211806,97.24166667,78.20069444,111.8450758,126.8872917,82.38833333,136.8399306,106.703453305714
"01-02-2023",79.30101449,60.70625,44.94791667,61.87760417,64.6803125,53.51201389,86.83030303,64.5507735357143
"02-02-2023",70.95309028,50.97083333,35.9875,51.83291667,51.79729167,44.88638889,62.77013889,52.7425942471429
"03-02-2023",90.61243056,66.60606061,48.52954545,68.75864583,79.14130952,55.83496528,84.22326389,70.5294601628571
"04-02-2023",127.1215625,77.228125,66.56805556,84.42135417,99.33864583,68.501875,117.15625,91.47655258
"05-02-2023",93.38208333,47.92391304,51.11770833,69.66395833,78.57590278,63.19826389,94.20590278,71.1525332114286
"06-02-2023",91.30118056,76.44545455,51.73229167,61.07434783,86.49045455,68.75791667,104.7715278,77.22473909
"07-02-2023",60.2021875,43.453125,32.93090278,61.598125,63.9371875,46.07285714,62.65,52.9777692742857
"08-02-2023",51.128125,40.02222222,30.84965278,47.62083333,47.3690625,35.29871528,59.05173611,44.47719246
"09-02-2023",79.50375,61.65243056,39.78958333,64.88413194,64.19871528,49.80538194,81.18090278,63.0021279757143
"10-02-2023",109.6198958,80.97743056,59.58923611,78.98545139,82.11666667,66.95635417,111.0069444,84.1788541571429
"11-02-2023",74.21864583,57.3,43.01493056,66.62138889,68.76666667,51.03284722,83.01909722,63.4247966271429
"12-02-2023",59.6996875,47.73368056,34.54618056,51.39600694,55.67763889,43.04770833,69.14722222,51.606875
"13-02-2023",59.07822917,43.575,27.705,54.78131944,45.59195652,45.47833333,57.99826389,47.7440146214286
"14-02-2023",96.74958333,66.61423611,47.203125,65.49280303,72.57231061,61.20430556,89.51770833,71.3362959957143
"15-02-2023",115.0180208,87.10868056,60.56884058,89.94895833,97.96018116,78.82024306,116.9336806,92.3369435842857
"16-02-2023",113.9479167,92.65972222,62.38819444,100.1823958,80.3196875,76.48923611,127.246875,93.3191468242857
"17-02-2023",70.28875,56.05590278,38.63958333,72.365,68.27989583,47.33885417,79.93371212,61.8430997471429
"18-02-2023",61.83072917,48.17569444,35.43125,63.68114583,53.70145833,42.50261905,64.69652778,52.8599178
"19-02-2023",53.45520833,42.95659722,28.47777778,55.01604167,45.17729167,33.59381944,54.63472222,44.7587797614286
"20-02-2023",45.30697917,30.353125,22.73541667,44.75135417,38.92795455,29.389625,43.13993056,36.3720550171429
"21-02-2023",58.09302083,41.13645833,28.94965278,46.1381746,40.78302083,35.03989583,53.36875,43.3584247428571
"22-02-2023",49.09735507,36.82333333,29.43993056,42.37104167,48.13572917,28.56579861,57.4884058,41.7030848871429
"23-02-2023",44.41333333,31.53576389,22.6280303,36.93649306,40.63147727,26.54625,47.83958333,35.7901330257143
"24-02-2023",55.78010417,39.22765152,30.26388889,49.8859058,49.30489583,32.22381944,58.36493056,45.0073137442857
"25-02-2023",73.33611111,53.28409091,40.19444444,60.0421875,56.70375,48.70416667,79.43784722,58.8146568357143
"26-02-2023",90.19416667,68.69479167,49.82256944,69.35642361,69.86645833,54.810625,90.90694444,70.5217113085714
"27-02-2023",65.61017361,47.03194444,34.74270833,54.8251087,59.01602273,41.80340278,68.28402778,53.0447697671429
"28-02-2023",67.64376812,47.43263889,36.90543478,51.91954861,53.86850694,47.92204861,70.62604167,53.7597125171429
"01-03-2023",64.82600694,42.1875,43.12395833,52.73819444,55.08212121,41.67652778,66.08993056,52.2463198942857
"02-03-2023",62.86083333,42.43409091,35.49375,49.75253472,53.32365942,35.56173611,62.28854167,48.8164494514286
"03-03-2023",61.72234848,55.37395833,39.00416667,64.04020833,68.51822464,53.18708333,74.790625,59.5195163971429
