"Time","Kolkata"
"01-01-2022",91.4257142857143
"02-01-2022",88.8814285714286
"03-01-2022",91.8471428571429
"04-01-2022",118.095714285714
"05-01-2022",133.298571428571
"06-01-2022",124.674285714286
"07-01-2022",125.542857142857
"08-01-2022",97.2242857142857
"09-01-2022",106.595
"10-01-2022",105.18
"11-01-2022",100.835714285714
"12-01-2022",54.5728571428571
"13-01-2022",65.6733333333333
"14-01-2022",61.5116666666667
"15-01-2022",67.68
"16-01-2022",78.1483333333333
"17-01-2022",92.585
"18-01-2022",107.678333333333
"19-01-2022",119.347142857143
"20-01-2022",127.038571428571
"21-01-2022",147.258571428571
"22-01-2022",96.0114285714286
"23-01-2022",118.052857142857
"24-01-2022",82.2257142857143
"25-01-2022",96.5242857142857
"26-01-2022",91.8871428571429
"27-01-2022",79.6571428571429
"28-01-2022",79.3216666666667
"29-01-2022",92.67
"30-01-2022",113.936666666667
"31-01-2022",76.885
"01-02-2022",69.2257142857143
"02-02-2022",77.0914285714286
"03-02-2022",52.6285714285714
"04-02-2022",26.5642857142857
"05-02-2022",44.6228571428571
"06-02-2022",57.1457142857143
"07-02-2022",53.6
"08-02-2022",78.7
"09-02-2022",85.2683333333333
"10-02-2022",67.1816666666667
"11-02-2022",86.4166666666667
"12-02-2022",64.9616666666667
"13-02-2022",63.7283333333333
"14-02-2022",74.6016666666667
"15-02-2022",94.3116666666667
"16-02-2022",100.048333333333
"17-02-2022",109.09
"18-02-2022",101.891666666667
"19-02-2022",106.946666666667
"20-02-2022",83.6933333333333
"21-02-2022",60.0985714285714
"22-02-2022",71.4742857142857
"23-02-2022",78.57
"24-02-2022",58.4814285714286
"25-02-2022",67.8371428571429
"26-02-2022",113.037142857143
"27-02-2022",86.5028571428571
"28-02-2022",55.1071428571429
"01-03-2022",78.7085714285714
"02-03-2022",78.5171428571429
"03-03-2022",93.2785714285714
"04-03-2022",97.89
"05-03-2022",88.8371428571429
"06-03-2022",70.62
"07-03-2022",79.4866666666667
"08-03-2022",83.2128571428571
"09-03-2022",93.3357142857143
"10-03-2022",99.7
"11-03-2022",90.8271428571429
"12-03-2022",87.0914285714286
"13-03-2022",79.8957142857143
"14-03-2022",89.0357142857143
"15-03-2022",84.1314285714286
"16-03-2022",56.5628571428571
"17-03-2022",47.1742857142857
"18-03-2022",41.74
"19-03-2022",39.1028571428571
"20-03-2022",36.4828571428571
"21-03-2022",34.1342857142857
"22-03-2022",35.5442857142857
"23-03-2022",47.6214285714286
"24-03-2022",43.6957142857143
"25-03-2022",37.4485714285714
"26-03-2022",35.5542857142857
"27-03-2022",41.4928571428571
"28-03-2022",42.18
"29-03-2022",38.6685714285714
"30-03-2022",26.5285714285714
"31-03-2022",26.2214285714286
"01-04-2022",27.9371428571429
"02-04-2022",22.4471428571429
"03-04-2022",20.2171428571429
"04-04-2022",19.38
"05-04-2022",18.8742857142857
"06-04-2022",22.4814285714286
"07-04-2022",27.6828571428571
"08-04-2022",22.7871428571429
"09-04-2022",14.3314285714286
"10-04-2022",16.3957142857143
"11-04-2022",19.2057142857143
"12-04-2022",18.5742857142857
"13-04-2022",15.5242857142857
"14-04-2022",17.4671428571429
"15-04-2022",37.8328571428571
"16-04-2022",21.5528571428571
"17-04-2022",20.1
"18-04-2022",21.51
"19-04-2022",19.6842857142857
"20-04-2022",22.8314285714286
"21-04-2022",20.1914285714286
"22-04-2022",23.6514285714286
"23-04-2022",37.8042857142857
"24-04-2022",35.6285714285714
"25-04-2022",34.6114285714286
"26-04-2022",30.8828571428571
"27-04-2022",32.7471428571429
"28-04-2022",31.9257142857143
"29-04-2022",33.8014285714286
"30-04-2022",32.3485714285714
"01-05-2022",29.2628571428571
"02-05-2022",22.0285714285714
"03-05-2022",18.8
"04-05-2022",23.48
"05-05-2022",25.9028571428571
"06-05-2022",33.9171428571429
"07-05-2022",30.8885714285714
"08-05-2022",27.8028571428571
"09-05-2022",10.8914285714286
"10-05-2022",13.5085714285714
"11-05-2022",21.6642857142857
"12-05-2022",27.7285714285714
"13-05-2022",29.99
"14-05-2022",21.8557142857143
"15-05-2022",19.7642857142857
"16-05-2022",21.6785714285714
"17-05-2022",18.11
"18-05-2022",15.4357142857143
"19-05-2022",17.85
"20-05-2022",18.6714285714286
"21-05-2022",24.3957142857143
"22-05-2022",35.8085714285714
"23-05-2022",42.09
"24-05-2022",29.61
"25-05-2022",31.5442857142857
"26-05-2022",42.58
"27-05-2022",57.6214285714286
"28-05-2022",54.8228571428571
"29-05-2022",37.1814285714286
"30-05-2022",39.31
"31-05-2022",32.1471428571429
"01-06-2022",38.1614285714286
"02-06-2022",31.8842857142857
"03-06-2022",36.8071428571429
"04-06-2022",33.5514285714286
"05-06-2022",29.8485714285714
"06-06-2022",30.5485714285714
"07-06-2022",29.8657142857143
"08-06-2022",36.3157142857143
"09-06-2022",31.2671428571429
"10-06-2022",29.3814285714286
"11-06-2022",28.9257142857143
"12-06-2022",26.4957142857143
"13-06-2022",26.9071428571429
"14-06-2022",22.2042857142857
"15-06-2022",28.1371428571429
"16-06-2022",22.9671428571429
"17-06-2022",18.5828571428571
"18-06-2022",17.2057142857143
"19-06-2022",16.7414285714286
"20-06-2022",17.5385714285714
"21-06-2022",24.4428571428571
"22-06-2022",18.2985714285714
"23-06-2022",14.5271428571429
"24-06-2022",17.1414285714286
"25-06-2022",18.6071428571429
"26-06-2022",13.3871428571429
"27-06-2022",13.1585714285714
"28-06-2022",17.8042857142857
"29-06-2022",16.1142857142857
"30-06-2022",19.8557142857143
"01-07-2022",23.5928571428571
