"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"06-03-2022",63.18,71.46,53.43,69.79,99.73,70.68,66.07,70.62
"07-03-2022",73.28,89.33,64.25,78.61,95.7,NA,75.75,79.4866666666667
"08-03-2022",77.12,82.75,67.74,89.32,107.84,76.59,81.13,83.2128571428571
"09-03-2022",87.8,82.28,72.38,93.83,118.24,102.24,96.58,93.3357142857143
"10-03-2022",88.01,90.32,69.94,98.06,128.52,113.6,109.45,99.7
"11-03-2022",79.65,80.85,66.04,87.36,138.18,98.37,85.34,90.8271428571429
"12-03-2022",83.3,83.42,69.12,86.82,109.77,92.97,84.24,87.0914285714286
"13-03-2022",68.09,77.21,56.94,79.98,113.01,81.88,82.16,79.8957142857143
"14-03-2022",80.12,84.29,68.23,86.83,126.93,85.62,91.23,89.0357142857143
"15-03-2022",72.87,81.54,63.47,82.18,111.94,95.61,81.31,84.1314285714286
"16-03-2022",53.41,52.57,42.55,52.69,88.49,51.76,54.47,56.5628571428571
"17-03-2022",35.67,45.4,36.81,52.06,72.53,44.21,43.54,47.1742857142857
"18-03-2022",30.77,39.46,34.56,43.77,61.13,41.3,41.19,41.74
"19-03-2022",28.54,35.47,34.56,42.48,57.34,36.76,38.57,39.1028571428571
"20-03-2022",28.12,33.72,33.77,37.37,53.67,33.81,34.92,36.4828571428571
"21-03-2022",24.16,27.32,31.35,40.97,49.28,30.45,35.41,34.1342857142857
"22-03-2022",37.19,32.4,27.88,33.18,52.17,33.24,32.75,35.5442857142857
"23-03-2022",47.68,40.99,34.45,46.62,78.74,41.74,43.13,47.6214285714286
"24-03-2022",44.21,39.59,40.73,41.01,61.76,38.37,40.2,43.6957142857143
"25-03-2022",39.97,29.05,32.91,38.34,52.39,33.74,35.74,37.4485714285714
"26-03-2022",35.18,27.96,29.73,36.26,53.78,30.94,35.03,35.5542857142857
"27-03-2022",39.94,33.79,35.54,43.91,54.47,40.45,42.35,41.4928571428571
"28-03-2022",36.11,34.7,35.56,43.78,63.54,38.01,43.56,42.18
"29-03-2022",33.29,30.79,34.64,39.16,54.05,39.13,39.62,38.6685714285714
"30-03-2022",22.88,18.17,23.11,31.92,38.36,23.25,28.01,26.5285714285714
"31-03-2022",15.86,17.34,30.51,29.9,41.73,23.03,25.18,26.2214285714286
"01-04-2022",20.45,20.35,26.39,27.69,44.65,26.62,29.41,27.9371428571429
"02-04-2022",16.17,10.53,25.93,24.2,39.62,18.85,21.83,22.4471428571429
"03-04-2022",15.99,7.96,20.05,22.53,37.35,17.07,20.57,20.2171428571429
"04-04-2022",13.08,11.89,16.75,21.44,38.59,16.19,17.72,19.38
"05-04-2022",12.98,14.38,16.45,20.11,34.57,16.01,17.62,18.8742857142857
"06-04-2022",13.95,20.57,19.36,22.91,37.85,19.01,23.72,22.4814285714286
"07-04-2022",24.21,24.69,21.97,27.81,46.64,21.91,26.55,27.6828571428571
"08-04-2022",19.21,19.34,20.74,24.67,37.2,18.58,19.77,22.7871428571429
"09-04-2022",16.34,12.76,12.89,14.26,23.99,8.92,11.16,14.3314285714286
"10-04-2022",17.68,13.26,14.09,15.56,28.37,11.63,14.18,16.3957142857143
"11-04-2022",20.17,15.06,20.99,19.01,30.32,12.58,16.31,19.2057142857143
"12-04-2022",15.7,14.53,17.79,20.39,29.12,15.85,16.64,18.5742857142857
"13-04-2022",12.71,12.57,14.97,15.83,29.13,9.22,14.24,15.5242857142857
"14-04-2022",16.81,5.27,15.73,14.73,33.89,16,19.84,17.4671428571429
"15-04-2022",34.45,26.35,28.92,35.59,67.61,32.41,39.5,37.8328571428571
"16-04-2022",20.31,11.52,19.77,22.46,36.16,18.17,22.48,21.5528571428571
"17-04-2022",20.45,10.3,16.99,20.99,32.46,NA,19.41,20.1
"18-04-2022",16.76,14.87,23.19,18.73,37.25,NA,18.26,21.51
"19-04-2022",17.74,15.63,16.84,19.66,35.71,17,15.21,19.6842857142857
"20-04-2022",22.48,17.87,18.82,20.82,36.63,24.49,18.71,22.8314285714286
"21-04-2022",16.05,16.04,15.09,19.3,36.11,21,17.75,20.1914285714286
"22-04-2022",13.23,24.3,20.81,21.96,39.94,26.23,19.09,23.6514285714286
"23-04-2022",26.34,32.67,28.54,43.83,60.91,40.63,31.71,37.8042857142857
"24-04-2022",22.6,30.01,24.16,34.18,67.09,38.33,33.03,35.6285714285714
"25-04-2022",19.99,30.51,28.44,35.84,61.99,36.05,29.46,34.6114285714286
"26-04-2022",27.13,26.14,23.88,31.13,50.2,31.18,26.52,30.8828571428571
"27-04-2022",28.99,27.22,24.48,30.97,55.45,33.76,28.36,32.7471428571429
"28-04-2022",31.94,34.5,22.45,28.64,43.89,34.08,27.98,31.9257142857143
"29-04-2022",29.7,31.75,22.95,32.2,52.06,35.75,32.2,33.8014285714286
"30-04-2022",29.65,31.53,22.25,35.13,44.46,33.36,30.06,32.3485714285714
"01-05-2022",32.33,31.22,23.5,25.63,38.95,30.21,23,29.2628571428571
"02-05-2022",24.92,18.08,17.9,19.49,29.67,25.7,18.44,22.0285714285714
"03-05-2022",17.48,21.52,15.13,17.74,23.81,21.19,14.73,18.8
"04-05-2022",19.6,29.58,20.65,18.06,33.35,23.61,19.51,23.48
"05-05-2022",19.55,26.91,21.33,25.44,37.29,28.86,21.94,25.9028571428571
"06-05-2022",29.71,35.03,24.36,32.12,51.89,35.64,28.67,33.9171428571429
"07-05-2022",26.07,31.87,28.85,26.6,46.88,26.4,29.55,30.8885714285714
"08-05-2022",26.35,23.76,20.7,27.2,43.97,25.47,27.17,27.8028571428571
"09-05-2022",10.72,12.02,14.31,8.81,13.83,8.7,7.85,10.8914285714286
"10-05-2022",8.27,13,11.23,11.15,23.49,14.11,13.31,13.5085714285714
"11-05-2022",15.35,24.4,18.13,16.28,33.23,27.31,16.95,21.6642857142857
"12-05-2022",21.05,30.63,21.93,23.24,38.96,29.17,29.12,27.7285714285714
"13-05-2022",25.81,31.93,23.41,27.68,41.34,30.54,29.22,29.99
"14-05-2022",18.65,24.43,18.45,19.89,25.85,23.81,21.91,21.8557142857143
"15-05-2022",17.26,18.46,16.21,16.03,29.58,22.2,18.61,19.7642857142857
"16-05-2022",16.23,21.49,17.51,18.84,31.18,23.67,22.83,21.6785714285714
"17-05-2022",21.15,17.73,16.26,15.29,24.98,17.38,13.98,18.11
"18-05-2022",19.31,12.97,13.39,11.82,21.11,15.97,13.48,15.4357142857143
"19-05-2022",19.91,15.55,14.01,16.66,24.67,20.23,13.92,17.85
