"Time","Jadavpur","Ballygunge","Rabindra_Sarobar","Bidhannagar","Rabindra_Bharati","Fort_William","Victoria","Kolkata"
"01-01-2024",104.5,102.58,88.27,80.85,55.83,34.5,100.68,81.03
"02-01-2024",97.82,97.01,81.67,81.18,68.36,28.21,100.44,79.2414285714286
"03-01-2024",88.48,93.04,68.04,63.9,72.18,19.14,85.93,70.1014285714286
"04-01-2024",105.57,105.41,83.97,75.9,85.17,73.27,107.71,91
"05-01-2024",119.01,119.15,104.03,88.55,110.35,93.07,120.19,107.764285714286
"06-01-2024",117.63,112.77,91.34,80.81,93.38,77.42,116.31,98.5228571428571
"07-01-2024",114.29,125.58,100.48,92.26,74.18,130.11,117.9,107.828571428571
"08-01-2024",113.94,127.41,111.85,104.29,95.36,130.69,124.5,115.434285714286
"09-01-2024",89.47,109.73,93.55,91.34,86.67,115.66,107.96,99.1971428571429
"10-01-2024",101.39,111.51,97.92,112.03,101.1,112.18,120.26,108.055714285714
"11-01-2024",96.64,110.29,97.38,96.3,81.27,121.77,118.4,103.15
"12-01-2024",98.08,103.24,85.76,87.95,82.23,114.69,101.45,96.2
"13-01-2024",131.42,123,101.36,90.78,81.33,129.62,113.48,110.141428571429
"14-01-2024",153.63,158.87,126.88,121.99,83.18,159.55,137.72,134.545714285714
"15-01-2024",138.61,139.88,115.17,95.67,96.01,146.97,127.08,122.77
"16-01-2024",112.19,116.59,103.91,89.76,93.29,122.06,104.51,106.044285714286
"17-01-2024",89.34,99.03,79.94,80.43,79.61,105.24,96.77,90.0514285714286
"18-01-2024",89.19,103.19,79.95,82.64,90.12,102.05,98.81,92.2785714285714
"19-01-2024",84.2,91.11,73.67,84.33,80.47,87.73,88.55,84.2942857142857
"20-01-2024",124.15,124.94,93.72,94.98,93.49,118.4,114,109.097142857143
"21-01-2024",151.33,147.98,118.17,106.98,131.56,95.36,147.81,128.455714285714
"22-01-2024",137.02,137.2,105.9,110.42,112.17,28.83,133.87,109.344285714286
"23-01-2024",128.03,132.69,103.46,106.6,109.77,59.08,118.59,108.317142857143
"24-01-2024",100.16,112.5,86.68,97.68,110.91,137.94,112.05,108.274285714286
"25-01-2024",100.67,109.74,83.12,91.23,101.89,108.85,95.5,98.7142857142857
